wplcode;Woonplaatsnaam;gemcode;Gemeentenaam;Provinciecode;Provincienaam;Veiligheidsregio;Politie-eenheid;Omgevingsdienst
1779;1e Exloërmond;1681;Borger-Odoorn;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
1780;2e Exloërmond;1681;Borger-Odoorn;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
1781;2e Valthermond;1681;Borger-Odoorn;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
1925;Aadorp;0141;Almelo;23;Overijssel;Twente;Oost-Nederland;RUD Twente
2774;Aagtekerke;0717;Veere;29;Zeeland;Zeeland;Zeeland - West-Brabant;RUD Zeeland
2145;Aalden;0109;Coevorden;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe
2571;Aalsmeer;0358;Aalsmeer;27;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Omgevingsdienst Noordzeekanaalgebied
1600;Aalsmeerderbrug;0394;Haarlemmermeer;27;Noord-Holland;Kennemerland;Noord-Holland;Omgevingsdienst Noordzeekanaalgebied
2626;Aalst;0297;Zaltbommel;25;Gelderland;Gelderland-Zuid;Oost-Nederland;Omgevingsdienst Rivierenland
3387;Aalsum;0058;Dongeradeel;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
1193;Aalten;0197;Aalten;25;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Omgevingsdienst Achterhoek
2961;Aardenburg;1714;Sluis;29;Zeeland;Zeeland;Zeeland - West-Brabant;RUD Zeeland
1079;Aarlanderveen;0484;Alphen aan den Rijn;28;Zuid-Holland;Hollands Midden;Den Haag;Omgevingsdienst Midden-Holland
1445;Aarle-Rixtel;1659;Laarbeek;30;Noord-Brabant;Brabant-Zuidoost;Oost-Brabant;Omgevingsdienst Zuidoost-Brabant
2788;Aartswoud;0432;Opmeer;27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord
2400;Abbega;1900;Súdwest-Fryslân;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
3147;Abbekerk;0420;Medemblik;27;Noord-Holland;Noord-Holland-Noord;Noord-Holland;RUD Noord-Holland Noord
1385;Abbenbroek;1930;Nissewaard;28;Zuid-Holland;Rotterdam-Rijnmond;Rotterdam;Milieudienst DCMR
1608;Abbenes;0394;Haarlemmermeer;27;Noord-Holland;Kennemerland;Noord-Holland;Omgevingsdienst Noordzeekanaalgebied
1332;Abcoude;0736;De Ronde Venen;26;Utrecht;Utrecht;Midden-Nederland;Omgevingsdienst Regio Utrecht
1364;Achlum;1949;Waadhoeke;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân
1063;Achterveld;0203;Barneveld;25;Gelderland;Gelderland-Midden;Oost-Nederland;Omgevingsdienst De Vallei
