pc4;woonplaatscode;woonplaatsnaam;gemeentecode;gemeentenaam;provinciecode;provincienaam;veiligheidsregio;politie-eenheid;omgevingsdienst;drinkwater;netbeheer
9573;1779;1e Exloërmond;1681;Borger-Odoorn;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe;WMD;Enexis
9571;1780;2e Exloërmond;1681;Borger-Odoorn;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe;WMD;Enexis
7877;1781;2e Valthermond;1681;Borger-Odoorn;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe;WMD;Enexis
7611;1925;Aadorp;0141;Almelo;23;Overijssel;Twente;Oost-Nederland;RUD Twente;Vitens;Coteq netbeheer
4363;2774;Aagtekerke;0717;Veere;29;Zeeland;Zeeland;Zeeland - West-Brabant;RUD Zeeland;Evides;Enduris
7854;2145;Aalden;0109;Coevorden;22;Drenthe;Drenthe;Noord-Nederland;RUD Drenthe;WMD;Enexis
1431;2571;Aalsmeer;0358;Aalsmeer;27;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Omgevingsdienst Noordzeekanaalgebied;PWN;Liander
1432;2571;Aalsmeer;0358;Aalsmeer;27;Noord-Holland;Amsterdam-Amstelland;Amsterdam;Omgevingsdienst Noordzeekanaalgebied;PWN;Liander
1436;1600;Aalsmeerderbrug;0394;Haarlemmermeer;27;Noord-Holland;Kennemerland;Noord-Holland;Omgevingsdienst Noordzeekanaalgebied;PWN;Liander
5308;2626;Aalst;0297;Zaltbommel;25;Gelderland;Gelderland-Zuid;Oost-Nederland;Omgevingsdienst Rivierenland;Vitens;Liander
9121;3387;Aalsum;0058;Dongeradeel;21;Friesland;Fryslân;Noord-Nederland;Utfieringstsjinst Miljeu en Omjouwing Fryslân;Vitens;Liander
7121;1193;Aalten;0197;Aalten;25;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Omgevingsdienst Achterhoek;Vitens;Liander
7122;1193;Aalten;0197;Aalten;25;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Omgevingsdienst Achterhoek;Vitens;Liander
7123;1193;Aalten;0197;Aalten;25;Gelderland;Noord- en Oost-Gelderland;Oost-Nederland;Omgevingsdienst Achterhoek;Vitens;Liander
